fuck you,dt,vx,vy,yaw,dx,dy,"x,y"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123426.879,""accelerometers"":{""x"":93.49885559082031,""y"":26.526042938232422,""z"":-962.08837890625},""gyroscopes"":{""x"":0.002236473374068737,""y"":0.06829239428043365,""z"":-0.04445231333374977},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.825,""leftRightDegrees"":5.841,""clockwiseDegrees"":-1.841,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123463.348,""accelerometers"":{""x"":93.38287353515625,""y"":25.378206253051758,""z"":-967.875},""gyroscopes"":{""x"":-0.06254088133573532,""y"":-0.0020648916251957417,""z"":-0.11323696374893188},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.787,""leftRightDegrees"":5.761,""clockwiseDegrees"":-1.847,""xVelocity"":-12.119824409484863,""yVelocity"":23.456798553466797,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123626.434,""accelerometers"":{""x"":93.30553436279297,""y"":25.437423706054688,""z"":-967.556640625},""gyroscopes"":{""x"":-0.05212724953889847,""y"":0.10590091347694397,""z"":0.01893080398440361},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.554,""leftRightDegrees"":5.262,""clockwiseDegrees"":-1.876,""xVelocity"":-21.72589111328125,""yVelocity"":45.03959655761719,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123631.896,""accelerometers"":{""x"":93.28355407714844,""y"":25.331209182739258,""z"":-968.82275390625},""gyroscopes"":{""x"":-0.008744670078158379,""y"":0.0686652809381485,""z"":0.03514634445309639},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.547,""leftRightDegrees"":5.248,""clockwiseDegrees"":-1.877,""xVelocity"":-21.70535659790039,""yVelocity"":44.99966049194336,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123641.54,""accelerometers"":{""x"":93.29875183105469,""y"":25.395057678222656,""z"":-967.48681640625},""gyroscopes"":{""x"":0.029810968786478043,""y"":-0.016447635367512703,""z"":0.011891085654497147},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.533,""leftRightDegrees"":5.219,""clockwiseDegrees"":-1.878,""xVelocity"":-21.65277099609375,""yVelocity"":44.89543151855469,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123646.392,""accelerometers"":{""x"":93.30613708496094,""y"":25.3697566986084,""z"":-968.353515625},""gyroscopes"":{""x"":-0.033810511231422424,""y"":-0.029968079179525375,""z"":-0.004075602162629366},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.526,""leftRightDegrees"":5.204,""clockwiseDegrees"":-1.878,""xVelocity"":-21.62099266052246,""yVelocity"":44.830142974853516,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":123801.177,""accelerometers"":{""x"":93.44438934326172,""y"":25.426361083984375,""z"":-968.12939453125},""gyroscopes"":{""x"":-0.052125610411167145,""y"":-0.06531903147697449,""z"":-0.14307275414466858},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.319,""leftRightDegrees"":4.769,""clockwiseDegrees"":-1.906,""xVelocity"":-20.06290054321289,""yVelocity"":41.45564270019531,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":124000.701,""accelerometers"":{""x"":90.69731903076172,""y"":23.1164493560791,""z"":-965.2025756835938},""gyroscopes"":{""x"":-1.2939517498016357,""y"":0.061164990067481995,""z"":-2.2253260612487793},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.077,""leftRightDegrees"":4.254,""clockwiseDegrees"":-1.95,""xVelocity"":-17.881860733032227,""yVelocity"":37.178768157958984,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":124010.742,""accelerometers"":{""x"":96.73517608642578,""y"":22.594284057617188,""z"":-970.7865600585938},""gyroscopes"":{""x"":-0.01533180009573698,""y"":0.6113601922988892,""z"":1.5947356224060059},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.068,""leftRightDegrees"":4.234,""clockwiseDegrees"":-1.941,""xVelocity"":-17.72564125061035,""yVelocity"":36.66839599609375,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":124216.003,""accelerometers"":{""x"":85.33780670166016,""y"":13.70613956451416,""z"":-969.9443359375},""gyroscopes"":{""x"":-1.0794538259506226,""y"":-0.43798497319221497,""z"":3.185114860534668},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.801,""leftRightDegrees"":3.736,""clockwiseDegrees"":-1.785,""xVelocity"":-16.496475219726562,""yVelocity"":32.34172821044922,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":124220.428,""accelerometers"":{""x"":88.6127700805664,""y"":32.598968505859375,""z"":-969.23486328125},""gyroscopes"":{""x"":1.4046871662139893,""y"":0.5126352906227112,""z"":-0.6813376545906067},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.798,""leftRightDegrees"":3.731,""clockwiseDegrees"":-1.788,""xVelocity"":-16.46072006225586,""yVelocity"":32.405967712402344,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":124404.907,""accelerometers"":{""x"":80.7552490234375,""y"":29.198108673095703,""z"":-966.2080078125},""gyroscopes"":{""x"":0.6097283363342285,""y"":-0.1580708771944046,""z"":-2.4579551219940186},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.586,""leftRightDegrees"":3.353,""clockwiseDegrees"":-1.777,""xVelocity"":-14.860593795776367,""yVelocity"":29.235389709472656,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":124409.881,""accelerometers"":{""x"":91.34988403320312,""y"":30.973901748657227,""z"":-964.888671875},""gyroscopes"":{""x"":-0.46167489886283875,""y"":0.03996310383081436,""z"":-0.8834768533706665},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.583,""leftRightDegrees"":3.341,""clockwiseDegrees"":-1.782,""xVelocity"":-14.716676712036133,""yVelocity"":29.23516273498535,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":124444.885,""accelerometers"":{""x"":95.39973449707031,""y"":25.331083297729492,""z"":-970.646484375},""gyroscopes"":{""x"":-0.43623271584510803,""y"":-0.325181782245636,""z"":0.6302005648612976},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.547,""leftRightDegrees"":3.27,""clockwiseDegrees"":-1.78,""xVelocity"":-14.256302833557129,""yVelocity"":28.437021255493164,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":124595.489,""accelerometers"":{""x"":88.68135833740234,""y"":33.6037483215332,""z"":-967.41796875},""gyroscopes"":{""x"":-0.8053841590881348,""y"":0.13890011608600616,""z"":-2.975477695465088},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.389,""leftRightDegrees"":3.009,""clockwiseDegrees"":-1.839,""xVelocity"":-13.293166160583496,""yVelocity"":26.03559684753418,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":124830.078,""accelerometers"":{""x"":94.04271697998047,""y"":-12.033158302307129,""z"":-972.7021484375},""gyroscopes"":{""x"":0.8985550403594971,""y"":1.5027024745941162,""z"":4.496601581573486},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.21,""leftRightDegrees"":2.624,""clockwiseDegrees"":-1.809,""xVelocity"":-10.806747436523438,""yVelocity"":21.879154205322266,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":125008.758,""accelerometers"":{""x"":76.43292999267578,""y"":53.546939849853516,""z"":-961.1132202148438},""gyroscopes"":{""x"":-2.1392152309417725,""y"":-2.053859233856201,""z"":-0.22471877932548523},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.086,""leftRightDegrees"":2.357,""clockwiseDegrees"":-1.837,""xVelocity"":-10.111706733703613,""yVelocity"":20.643871307373047,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":125013.732,""accelerometers"":{""x"":82.56537628173828,""y"":14.236863136291504,""z"":-961.6200561523438},""gyroscopes"":{""x"":0.7703393697738647,""y"":-1.2663482427597046,""z"":1.2914303541183472},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.075,""leftRightDegrees"":2.357,""clockwiseDegrees"":-1.831,""xVelocity"":-10.195026397705078,""yVelocity"":20.278362274169922,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":125018.646,""accelerometers"":{""x"":97.41200256347656,""y"":-2.4677083492279053,""z"":-970.6249389648438},""gyroscopes"":{""x"":1.652500033378601,""y"":1.967020034790039,""z"":2.2519032955169678},""controlState"":""CTRL_TRANS_GOTOFIX"",""flyState"":""FLYING_OK"",""frontBackDegrees"":1.082,""leftRightDegrees"":2.363,""clockwiseDegrees"":-1.819,""xVelocity"":-9.911442756652832,""yVelocity"":19.54996109008789,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
